Name,Continent,URL,covid_cases,vaccines
Brazil,South_America,https://en.wikipedia.org/wiki/Brazil,21897025.0,279097836.0
Chile,South_America,https://en.wikipedia.org/wiki/Chile,1713188.0,37678211.0
Colombia,South_America,https://en.wikipedia.org/wiki/Colombia,5019158.0,49123580.0
Ecuador,South_America,https://en.wikipedia.org/wiki/Ecuador,519560.0,22692858.0
Guyana,South_America,https://en.wikipedia.org/wiki/Guyana,36257.0,634491.0
Paraguay,South_America,https://en.wikipedia.org/wiki/Paraguay,461413.0,5316775.0
Peru,South_America,https://en.wikipedia.org/wiki/Peru,2207890.0,36146674.0
Suriname,South_America,https://en.wikipedia.org/wiki/Suriname,49812.0,458690.0
Uruguay,South_America,https://en.wikipedia.org/wiki/Uruguay,395610.0,6661158.0
Venezuela,South_America,https://en.wikipedia.org/wiki/Venezuela,414220.0,23156914.0
Albania,Europe,https://en.wikipedia.org/wiki/Albania,190125.0,1947148.0
Andorra,Europe,https://en.wikipedia.org/wiki/Andorra,15717.0,102692.0
Austria,Europe,https://en.wikipedia.org/wiki/Austria,899777.0,11766792.0
Belarus,Europe,https://en.wikipedia.org/wiki/Belarus,617719.0,4766181.0
Belgium,Europe,https://en.wikipedia.org/wiki/Belgium,1438830.0,16925325.0
Bosnia and Herzegovina,Europe,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,260837.0,1479596.0
Bulgaria,Europe,https://en.wikipedia.org/wiki/Bulgaria,643003.0,2628498.0
Croatia,Europe,https://en.wikipedia.org/wiki/Croatia,507535.0,3690148.0
Czech Republic,Europe,https://en.wikipedia.org/wiki/Czech_Republic,,
Denmark,Europe,https://en.wikipedia.org/wiki/Denmark,407417.0,8912383.0
Estonia,Europe,https://en.wikipedia.org/wiki/Estonia,206972.0,1449142.0
Finland,Europe,https://en.wikipedia.org/wiki/Finland,165302.0,8177958.0
France,Europe,https://en.wikipedia.org/wiki/France,7051795.0,100064762.0
Germany,Europe,https://en.wikipedia.org/wiki/Germany,4857463.0,113164222.0
Greece,Europe,https://en.wikipedia.org/wiki/Greece,801208.0,12944760.0
Hungary,Europe,https://en.wikipedia.org/wiki/Hungary,914586.0,13132409.0
Iceland,Europe,https://en.wikipedia.org/wiki/Iceland,14757.0,574658.0
Republic of Ireland,Europe,https://en.wikipedia.org/wiki/Republic_of_Ireland,,
Italy,Europe,https://en.wikipedia.org/wiki/Italy,4818705.0,91096965.0
Latvia,Europe,https://en.wikipedia.org/wiki/Latvia,233698.0,2030734.0
Liechtenstein,Europe,https://en.wikipedia.org/wiki/Liechtenstein,3781.0,49963.0
Lithuania,Europe,https://en.wikipedia.org/wiki/Lithuania,430855.0,3442819.0
Luxembourg,Europe,https://en.wikipedia.org/wiki/Luxembourg,83479.0,893392.0
Malta,Europe,https://en.wikipedia.org/wiki/Malta,37966.0,888880.0
Moldova,Europe,https://en.wikipedia.org/wiki/Moldova,348588.0,1457475.0
Monaco,Europe,https://en.wikipedia.org/wiki/Monaco,3451.0,49980.0
Montenegro,Europe,https://en.wikipedia.org/wiki/Montenegro,149729.0,507082.0
Netherlands,Europe,https://en.wikipedia.org/wiki/Netherlands,2224096.0,24872036.0
North Macedonia,Europe,https://en.wikipedia.org/wiki/North_Macedonia,206910.0,1624729.0
Norway,Europe,https://en.wikipedia.org/wiki/Norway,220513.0,7969588.0
Poland,Europe,https://en.wikipedia.org/wiki/Poland,3125179.0,39469339.0
Portugal,Europe,https://en.wikipedia.org/wiki/Portugal,1099307.0,16246592.0
Romania,Europe,https://en.wikipedia.org/wiki/Romania,1718726.0,11850881.0
San Marino,Europe,https://en.wikipedia.org/wiki/San_Marino,5610.0,47302.0
Serbia,Europe,https://en.wikipedia.org/wiki/Serbia,1192476.0,7290148.0
Slovakia,Europe,https://en.wikipedia.org/wiki/Slovakia,526608.0,4836940.0
Slovenia,Europe,https://en.wikipedia.org/wiki/Slovenia,360614.0,2319847.0
Spain,Europe,https://en.wikipedia.org/wiki/Spain,5032056.0,72805128.0
Sweden,Europe,https://en.wikipedia.org/wiki/Sweden,1179192.0,14697481.0
Switzerland,Europe,https://en.wikipedia.org/wiki/Switzerland,897078.0,11155900.0
Ukraine,Europe,https://en.wikipedia.org/wiki/Ukraine,3253327.0,19584775.0
United Kingdom,Europe,https://en.wikipedia.org/wiki/United_Kingdom,9366676.0,106417956.0
Vatican City,Europe,https://en.wikipedia.org/wiki/Vatican_City,27.0,
Australia,Oceania,https://en.wikipedia.org/wiki/Australia,182870.0,36918760.0
Federated States of Micronesia,Oceania,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,,
Fiji,Oceania,https://en.wikipedia.org/wiki/Fiji,52298.0,1196888.0
Kiribati,Oceania,https://en.wikipedia.org/wiki/Kiribati,,
Marshall Islands,Oceania,https://en.wikipedia.org/wiki/Marshall_Islands,,
Nauru,Oceania,https://en.wikipedia.org/wiki/Nauru,,
New Zealand,Oceania,https://en.wikipedia.org/wiki/New_Zealand,7922.0,7078006.0
Palau,Oceania,https://en.wikipedia.org/wiki/Palau,,
Papua New Guinea,Oceania,https://en.wikipedia.org/wiki/Papua_New_Guinea,31893.0,290513.0
Samoa,Oceania,https://en.wikipedia.org/wiki/Samoa,,
Solomon Islands,Oceania,https://en.wikipedia.org/wiki/Solomon_Islands,,
Tonga,Oceania,https://en.wikipedia.org/wiki/Tonga,,
Tuvalu,Oceania,https://en.wikipedia.org/wiki/Tuvalu,,
Vanuatu,Oceania,https://en.wikipedia.org/wiki/Vanuatu,,
